site_name,component,state,country,operational_status,latitude,longitude
MCB Quantico,MC Active,Virginia,United States,Active,38.5520544383,-77.4571616476
St Juliens Creek East,Navy Active,Virginia,United States,Active,36.7879489259,-76.3101638082
Elizabeth Rvr Channel,Navy Active,Virginia,United States,Active,36.8663757991,-76.3318847593
Naval Support Activity Wash,Navy Active,District of Columbia,United States,Active,38.8740586335,-76.9950963249
Naval Support Activity Panama City,Navy Active,Florida,United States,Active,30.1726207717,-85.7522787123
Nellis Annex,AF Active,Nevada,United States,Active,36.2384449698,-115.135834801
JB Andrews,AF Active,Maryland,United States,Active,38.8051681105,-76.8744692983
Schriever AFB,AF Active,Colorado,United States,Active,38.8058114757,-104.519907537
Charleston Defense Fuel Support Point,AF Active,South Carolina,United States,Active,32.9127968927,-79.983267572
Joint Base Charleston Short Stay,AF Active,South Carolina,United States,Active,33.2559459604,-79.9889000764
Maxwell AFB Gunter Annex,AF Active,Alabama,United States,Active,32.4070003775,-86.2462388765
Alpena County Regional Airport,AF Guard,Michigan,United States,Active,45.0843936284,-83.5700561745
Forbes Field ANG,AF Guard,Kansas,United States,Active,38.9609025845,-95.681207501
Kingsley Field Cantonement Site 1,AF Guard,Oregon,United States,Active,42.1604107875,-121.744216355
Nashville IAP,AF Guard,Tennessee,United States,Active,36.1109974019,-86.6749742271
NG Fort Worth - Shoreview,Army Guard,Texas,United States,Active,32.778187703,-97.458544842
NG Muscatatuck Urban Training Center,Army Guard,Indiana,United States,Active,39.0513458097,-85.5247386919
NG MTA Ft Wm Henry Harrison,Army Guard,Montana,United States,Active,46.626145715,-112.146444058
NG Ayer,Army Guard,Massachusetts,United States,Active,42.5489411722,-71.584497782
NG Macon TS,Army Guard,Missouri,United States,Active,39.6732925118,-92.5020276292
NG Johnson City Gray,Army Guard,Tennessee,United States,Active,36.4213309591,-82.4887633022
NG Muskogee AFRC,Army Guard,Oklahoma,United States,Active,35.6603704603,-95.3735309528
NG Fort Pickett ARNG MTC,Army Guard,Virginia,United States,Active,37.0367527263,-77.9093172808
NOLF Choctaw,Navy Active,Florida,United States,Active,30.5064032466,-86.9567087641
NOLF Evergreen,Navy Active,Alabama,United States,Active,31.4156644398,-87.0439393588
NAWS China Lake,Navy Active,California,United States,Active,35.9342694303,-117.643911309
Fort Hood,Army Active,Texas,United States,Active,31.2156853581,-97.7370319242
Air Force Plant 6,AF Active,Georgia,United States,Active,33.922334237,-84.5270544482
Subase Kings Bay GA,Navy Active,Georgia,United States,Active,30.7934587256,-81.5333259382
NAS Fallon NV,Navy Active,Nevada,United States,Active,39.4222968339,-118.704557143
Kawaihae Mil Reserve,Army Active,Hawaii,United States,Active,20.0318843522,-155.829966763
Fort Belvoir,Army Active,Virginia,United States,Active,38.7084767137,-77.1565160328
Naval Support Activity Crane,Navy Active,Indiana,United States,Active,38.8411900749,-86.8124514998
Naval Magazine,Navy Active,Guam,Guam,Active,13.3594268458,144.692281863
Tinker AFB,AF Active,Oklahoma,United States,Active,35.4191853794,-97.3929293521
Ellsworth AFB Site 2,AF Active,South Dakota,United States,Active,44.1331953443,-103.090999951
Homestead ARB,AF Reserve,Florida,United States,Active,25.4944981242,-80.3914944068
Lackland Training Annex,AF Active,Texas,United States,Active,29.3687556968,-98.6650123488
Yukon Weapons Range,AF Active,Alaska,United States,Active,64.768242806,-146.889492296
Jacksonville IAP,AF Guard,Florida,United States,Active,30.4863923135,-81.7054402836
Site 1 Cantonement Area,AF Guard,Ohio,United States,Active,40.8116650292,-82.5179560357
Martin State Airport,AF Guard,Maryland,United States,Active,39.3317978625,-76.4150756624
Salt Lake City IAP,AF Guard,Utah,United States,Active,40.7896351662,-111.956659778
NG Carville Gillis Long Center,Army Guard,Louisiana,United States,Active,30.2011201324,-91.1289504931
NG Springfield AVCRAD (New),Army Guard,Missouri,United States,Active,37.2532754828,-93.3909578934
NG Alcantra Armory Complex,Army Guard,Alaska,United States,Active,61.6030503345,-149.37484979
NG Camp Adair Corvallis,Army Guard,Oregon,United States,Active,44.714336076,-123.270695898
NG Kalaeloa,Army Guard,Hawaii,United States,Active,21.3189917251,-158.062484829
Aiea,Navy Active,Hawaii,United States,Active,21.3735152684,-157.937987691
Ewa,Navy Active,Hawaii,United States,Active,21.3388777428,-157.995139279
Sewage Evaporation Pond,Navy Active,California,United States,Active,36.243764679,-119.883529044
Moody AFB,AF Active,Georgia,United States,Active,30.9725276772,-83.1646930406
Tac X Stagefield AL,Army Active,Alabama,United States,Active,31.122537386,-85.9790965172
Fort Lewis,Army Active,Washington,United States,Active,47.0544740533,-122.552700903
Hunter Army Airfield,Army Active,Georgia,United States,Active,32.0096565094,-81.1535601851
Green River Test Complex UT,Army Active,Utah,United States,Inactive,38.9584020247,-110.096989229
Apra Heights,Navy Active,Guam,Guam,Active,13.4015824973,144.67867992
Andy South,Navy Active,Guam,Guam,Active,13.5080101985,144.865759041
Marysville WA,Navy Active,Washington,United States,Active,48.1237034582,-122.171056043
Laughlin AFB Aux 1,AF Active,Texas,United States,Active,29.1183865271,-100.47229345
Joint Base Charleston Naval Weapons Station,AF Active,South Carolina,United States,Active,32.9629279333,-79.9635724771
Luke Waste Annex,AF Active,Arizona,United States,Active,33.538406301,-112.321762273
Great Falls IAP,AF Guard,Montana,United States,Active,47.4765456036,-111.364979591
Hector IAP,AF Guard,North Dakota,United States,Active,46.913722408,-96.8044644308
Stewart IAP,AF Guard,New York,United States,Active,41.501405282,-74.0843453548
Burlington IAP,AF Guard,Vermont,United States,Active,44.4744278549,-73.1478968168
Canyon Lake Recreation Annex,AF Active,Texas,United States,Active,29.8846193966,-98.2193812601
NG Camp Dodge Johnston TS,Army Guard,Iowa,United States,Active,41.81021516,-93.7813025881
NG Fort Indiantown Gap,Army Guard,Pennsylvania,United States,Active,40.4359467182,-76.6296904585
NG Fort Wolters,Army Guard,Texas,United States,Active,32.8648656985,-98.0295707976
